strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
rsi_reversal,US.SPY,3,-0.4879,-12.07,151.2,,,5.0,,26.29,7.15,14.88,0.2499,0.397,0.4804,69,68.12,2.189,86.09,-59.8,,,,,,,30.0,70.0
rsi_reversal,US.SPY,4,-0.4879,-12.07,151.2,,,5.0,,26.29,7.15,14.88,0.2499,0.397,0.4804,69,68.12,2.189,86.09,-59.8,,,,,,,30.0,75.0
breakout,US.SOXL,3,-0.0189,-38.48,1421.2,,,,1.2,15.36,4.32,55.81,0.2497,0.3597,0.0773,7,42.86,1.2226,652.72,-637.36,,,,,20.0,2.0,,
momentum,US.TNA,8,0.0539,7.25,-356.8,8.0,15.0,14.0,1.3,30.02,8.07,41.22,0.2462,0.3863,0.1959,21,42.86,1.4292,62.79,-32.77,,,,,,,,
mean_reversion,US.TNA,3,0.1863,37.29,-30.0,,,14.0,,28.66,7.74,42.49,0.2422,0.3557,0.1821,20,60.0,1.4825,62.79,-34.13,15.0,2.0,25.0,70.0,,,,
mean_reversion,US.TNA,4,0.1863,37.29,-30.0,,,14.0,,28.66,7.74,42.49,0.2422,0.3557,0.1821,20,60.0,1.4825,62.79,-34.13,15.0,2.0,25.0,75.0,,,,
momentum,US.SOXL,8,0.4249,193.95,46.2,5.0,20.0,14.0,1.3,13.72,3.88,64.87,0.2287,0.3162,0.0597,18,44.44,1.0983,652.72,-639.0,,,,,,,,
mean_reversion,US.TNA,7,0.0882,-8.33,-150.3,,,10.0,,24.05,6.58,42.53,0.2208,0.324,0.1548,29,68.97,1.284,62.79,-38.74,15.0,1.5,30.0,70.0,,,,
mean_reversion,US.TNA,8,0.0882,-8.33,-150.3,,,10.0,,24.05,6.58,42.53,0.2208,0.324,0.1548,29,68.97,1.284,62.79,-38.74,15.0,1.5,30.0,75.0,,,,
breakout,US.SPY,5,-0.8935,11.72,124.3,,,,1.5,22.78,6.26,10.05,0.2175,0.3023,0.6226,4,50.0,19.4461,86.09,-63.31,,,,,20.0,2.0,,
momentum,US.SPY,3,-0.1801,28.12,219.0,5.0,15.0,14.0,1.0,23.03,6.32,10.44,0.2144,0.3012,0.6053,23,47.83,2.2287,86.09,-63.06,,,,,,,,
