return_pct,sharpe,max_dd,trades,trades_per_day,win_rate,avg_win,avg_loss,profit_factor,n_days,symbol,strategy,train_sharpe,val_sharpe,val_return,val_trades,val_wr,overfit,verdict,p_move_threshold_pct,p_entry_bar_idx,p_stop_pct,p_confirm_bars,p_rsi_floor,p_stop_atr_mult,p_min_bars_before_entry
98.52,0.3529,82.14,2091,0.83,55.6,3.363,3.896,1.08,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,45.0,2.0,9.0
99.11,0.3464,76.82,2091,0.83,54.3,3.275,3.605,1.081,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.0,6.0
88.31,0.3447,83.0,2091,0.83,55.6,3.361,3.9,1.078,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,45.0,2.0,9.0
86.73,0.3432,83.2,2091,0.83,55.4,3.366,3.884,1.078,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.5,9.0
85.92,0.3428,83.18,2091,0.83,55.7,3.354,3.908,1.078,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,45.0,2.0,9.0
88.87,0.338,77.9,2091,0.83,54.3,3.273,3.608,1.079,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.0,6.0
86.47,0.336,78.17,2091,0.83,54.4,3.266,3.615,1.079,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.0,6.0
77.13,0.335,84.01,2091,0.83,55.4,3.364,3.887,1.076,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.5,9.0
74.88,0.3331,84.18,2091,0.83,55.5,3.356,3.895,1.076,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.5,9.0
85.07,0.3324,79.04,2088,0.83,54.5,3.231,3.596,1.078,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,50.0,1.0,6.0
